RouteId,Latitude,Longitude,DateTime,Heading,Speed,Distance,Elevation,Accuracy
280,30.40056077,-97.74900932,2016-09-07 13:52:50.000-0400,196.7,38.296413,16.724464,249,4
280,30.40070588,-97.74896172,2016-09-07 13:52:49.000-0400,196.3,37.625328,16.400871,248,4
280,30.4008493,-97.74891984,2016-09-07 13:52:48.000-0400,194.7,37.3569,16.390387,248,4
280,30.40099175,-97.74887417,2016-09-07 13:52:47.000-0400,195.6,37.401634,16.197142,248,4
280,30.40113411,-97.74883625,2016-09-07 13:52:46.000-0400,196.2,38.631954,17.821972,247,4
280,30.4012854,-97.74877353,2016-09-07 13:52:45.000-0400,196,39.079338,16.879995,248,4
280,30.40143248,-97.74872808,2016-09-07 13:52:44.000-0400,194.9,39.414883,17.878387,248,4
280,30.40158907,-97.74868358,2016-09-07 13:52:43.000-0400,194.7,38.520103,16.788622,248,3
280,30.40173713,-97.74864687,2016-09-07 13:52:42.000-0400,194.7,39.325405,18.116344,246,4
280,30.40189429,-97.7485952,2016-09-07 13:52:41.000-0400,195.6,39.303032,17.68933,246,4
280,30.40204605,-97.74853833,2016-09-07 13:52:40.000-0400,195.4,39.728054,17.671675,246,4
280,30.40219977,-97.74848965,2016-09-07 13:52:39.000-0400,195.9,39.660942,17.819407,246,4
280,30.4023537,-97.74843625,2016-09-07 13:52:38.000-0400,196.4,39.616203,17.81717,247,4
280,30.402509,-97.74838851,2016-09-07 13:52:37.000-0400,196.9,39.303032,17.913885,247,4
280,30.40266254,-97.7483304,2016-09-07 13:52:36.000-0400,197.9,39.012234,17.216326,247,4
280,30.4028096,-97.74827282,2016-09-07 13:52:35.000-0400,198.1,39.124077,18.16622,247,4
280,30.40296116,-97.74820094,2016-09-07 13:52:34.000-0400,197.1,37.647697,16.615482,247,4
280,30.4031049,-97.74815196,2016-09-07 13:52:33.000-0400,198.6,37.535854,16.929691,246,4
280,30.4032461,-97.74808485,2016-09-07 13:52:32.000-0400,201.1,39.660942,17.292097,246,4
280,30.40338854,-97.74801151,2016-09-07 13:52:31.000-0400,201.1,39.728054,18.093847,246,4
280,30.40354289,-97.7479503,2016-09-07 13:52:30.000-0400,198.4,39.280663,17.749302,246,4
280,30.40369495,-97.74789248,2016-09-07 13:52:29.000-0400,196.1,39.839897,25.978083,245,4
280,30.40392233,-97.74782711,2016-09-07 13:52:27.539-0400,193.3,40.175438,28.023193,245,4
280,30.40416976,-97.74776742,2016-09-07 13:52:26.000-0400,190,40.555717,17.835615,245,4
280,30.40432688,-97.7477275,2016-09-07 13:52:25.000-0400,186.7,41.047848,18.558878,245,5
280,30.40449344,-97.74770807,2016-09-07 13:52:24.000-0400,182.9,41.472866,17.196741,245,5
